timestamp,user_id,hour_of_day,text_length,risk_score,is_anomaly
2026-09-25T15:21:04.463908,16526b28-d730-412c-b947-194d4c8b8b85,15,513,81,True
2026-09-25T15:21:29.856905,16526b28-d730-412c-b947-194d4c8b8b85,15,10,10,False
2026-09-25T15:21:51.812523,16526b28-d730-412c-b947-194d4c8b8b85,15,513,81,True
2026-09-25T15:22:03.913655,16526b28-d730-412c-b947-194d4c8b8b85,15,513,81,True
2026-09-25T15:22:20.173585,fbecf1b7-a937-47ba-a178-a365f90605dc,15,513,81,True
2026-09-25T15:22:37.226477,fbecf1b7-a937-47ba-a178-a365f90605dc,15,513,81,True
2026-09-25T15:28:08.393653,fbecf1b7-a937-47ba-a178-a365f90605dc,15,513,81,True
2026-09-25T15:28:27.254717,94805fe4-b7f9-4296-9ab2-12b1c9585af3,15,513,81,True
2026-09-25T15:28:37.890664,94805fe4-b7f9-4296-9ab2-12b1c9585af3,15,513,81,True
2026-09-25T15:28:48.138536,94805fe4-b7f9-4296-9ab2-12b1c9585af3,15,513,81,True
